gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
P8,pulse,40.0,0.875,3.5,0.25,10.0,9.562841530054644,4,1,1000,9.673,9.673,9.673,9.673,17.745072899997467,nan
P8,pulse,40.0,0.875,3.5,0.25,10.0,9.562841530054644,5,1,1000,9.661,9.661,9.661,9.661,17.745072899997467,nan
P9,pulse,40.0,0.5,2.0,0.25,10.0,9.25925925925926,1,1,1000,9.452,9.452,9.452,9.452,18.218790799997805,nan
P9,pulse,40.0,0.5,2.0,0.25,10.0,9.25925925925926,2,1,1000,9.449,9.449,9.449,9.449,18.218790799997805,nan
P9,pulse,40.0,0.5,2.0,0.25,10.0,9.25925925925926,3,1,1000,9.459,9.459,9.459,9.459,18.218790799997805,nan
P9,pulse,40.0,0.5,2.0,0.25,10.0,9.25925925925926,4,1,1000,9.446,9.446,9.446,9.446,18.218790799997805,nan
P9,pulse,40.0,0.5,2.0,0.25,10.0,9.25925925925926,5,1,1000,9.449,9.449,9.449,9.449,18.218790799997805,nan
P10,pulse,40.0,0.375,1.5,0.25,10.0,9.036144578313253,1,1,1000,9.285,9.285,9.285,9.285,18.60112079999817,nan
P10,pulse,40.0,0.375,1.5,0.25,10.0,9.036144578313253,2,1,1000,9.294,9.294,9.294,9.294,18.60112079999817,nan
P10,pulse,40.0,0.375,1.5,0.25,10.0,9.036144578313253,3,1,1000,9.283,9.283,9.283,9.283,18.60112079999817,nan
P10,pulse,40.0,0.375,1.5,0.25,10.0,9.036144578313253,4,1,1000,9.296,9.296,9.296,9.296,18.60112079999817,nan
P10,pulse,40.0,0.375,1.5,0.25,10.0,9.036144578313253,5,1,1000,9.292,9.292,9.292,9.292,18.60112079999817,nan
P11,pulse,40.0,0.25,1.0,0.25,10.0,8.620689655172415,1,1,1000,8.984,8.984,8.984,8.984,19.3721458,nan
P11,pulse,40.0,0.25,1.0,0.25,10.0,8.620689655172415,2,1,1000,8.988,8.988,8.988,8.988,19.3721458,nan
