point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
25,2,1,1000,25.26,25.26,1540,4710,30627,15252,30627,15252,I=+25.260 nA X=+25.260 nA MODE=1 T=1000ms RAW m=1540 n=4710 INT1=30627 INT2=15252 EXT1=30627 EXT2=15252,24.99829,25.263333333333332
25,3,1,1000,25.266,25.266,1528,4722,30739,3117,30739,3117,I=+25.266 nA X=+25.266 nA MODE=1 T=1000ms RAW m=1528 n=4722 INT1=30739 INT2=3117 EXT1=30739 EXT2=3117,24.99829,25.263333333333332
20,1,1,1000,20.196,20.196,1880,4370,30464,41465,30464,41465,I=+20.196 nA X=+20.196 nA MODE=1 T=1000ms RAW m=1880 n=4370 INT1=30464 INT2=41465 EXT1=30464 EXT2=41465,19.996350000000003,20.19633333333333
20,2,1,1000,20.196,20.196,1879,4371,30694,40628,30694,40628,I=+20.196 nA X=+20.196 nA MODE=1 T=1000ms RAW m=1879 n=4371 INT1=30694 INT2=40628 EXT1=30694 EXT2=40628,19.996350000000003,20.19633333333333
20,3,1,1000,20.197,20.197,1880,4370,30689,41749,30689,41749,I=+20.197 nA X=+20.197 nA MODE=1 T=1000ms RAW m=1880 n=4370 INT1=30689 INT2=41749 EXT1=30689 EXT2=41749,19.996350000000003,20.19633333333333
15,1,1,1000,15.143,15.143,2193,4057,30608,40294,30608,40294,I=+15.143 nA X=+15.143 nA MODE=1 T=1000ms RAW m=2193 n=4057 INT1=30608 INT2=40294 EXT1=30608 EXT2=40294,14.995859999999999,15.143666666666666
15,2,1,1000,15.144,15.144,2193,4057,30636,40334,30636,40334,I=+15.144 nA X=+15.144 nA MODE=1 T=1000ms RAW m=2193 n=4057 INT1=30636 INT2=40334 EXT1=30636 EXT2=40334,14.995859999999999,15.143666666666666
15,3,1,1000,15.144,15.144,2194,4056,30367,41114,30367,41114,I=+15.144 nA X=+15.144 nA MODE=1 T=1000ms RAW m=2194 n=4056 INT1=30367 INT2=41114 EXT1=30367 EXT2=41114,14.995859999999999,15.143666666666666
10,1,1,1000,10.092,10.092,2512,3738,31249,45993,31249,45993,I=+10.092 nA X=+10.092 nA MODE=1 T=1000ms RAW m=2512 n=3738 INT1=31249 INT2=45993 EXT1=31249 EXT2=45993,9.998311111111112,10.104333333333335
10,2,1,1000,10.113,10.113,2470,3780,30558,2409,30558,2409,I=+10.113 nA X=+10.113 nA MODE=1 T=1000ms RAW m=2470 n=3780 INT1=30558 INT2=2409 EXT1=30558 EXT2=2409,9.998311111111112,10.104333333333335
